x,y,title,player,population,alliance,tribe,uid,aid,did
33,111,Village 01 Spawn,NinjaTurtle,935,HZR,Gauls,6588,1,46346
-20,-166,Village Powerslave,Molok,923,PA,Gauls,204,43,57611
-4,-86,Village Only for the Weak,Molok,907,PA,Gauls,204,43,34297
148,38,Village Пятнарь,Raul5448,859,TARTR,Gauls,11064,79,63680
-8,93,Village 1 TSAMPIKA,MIKE.LIA,842,W!LDS,Gauls,2645,39,38676
66,-110,Village LAS TANQUETAS,Lospeaky,841,PA,Teutons,597,43,49280
22,-163,Village Azurea,ClownHeishi,835,PA,Gauls,13555,43,55960
138,-172,Village Sirena Varada,Molok,834,PA,Gauls,204,43,70321
-66,-70,Village Hope,Treasurehunter,832,AO,Gauls,259,84,40606
95,-77,Village 02-Jon Snow,Pingu Jon,832,PA,Gauls,35,43,57444
112,-38,Village KHAOS,KARMA,807,PA,Romans,1295,43,46699
146,-77,Village 02,Triple Emperor,807,P.A.,Teutons,2742,160,71260
-52,-34,Village B00 Oasis Striker,powerclub,805,AO,Teutons,590,84,24038
31,-180,Village 02,Emperor Penguin,800,PA,Romans,995,43,59117
124,-40,Village 01. Odin,Revencoft2026,794,LS,Gauls,8509,117,49768
-67,-34,Village 01,Macek51,792,czsk,Gauls,1779,49,30114
28,-92,Village 00 K&D,K&D,792,P.A.,Gauls,3829,160,40408
32,-20,Village 01 Dominik Decoco,Pingu Satisfyer,792,P.A,Gauls,316,61,18765
31,190,Village 02,Ataraxia,783,P.A,Teutons,161,61,72626
83,-99,Village TOMMY SHELBY,Lospeaky,775,PA,Teutons,597,43,60468
40,20,Village 001,Mafi77,773,Tribe Gauls,Gauls,609,,18321
132,93,Village ist Köyü,isla,773,Hi2.0,Gauls,13103,432,55424
-55,194,Village 3. Minus Iron,hobo,772,W!LDS,Romans,905,39,69487
63,97,Village 02,NinjaTurtle,772,HZR,Gauls,6588,1,62646
36,-6,Village 1,LOrdHelmet,767,HUNok,Gauls,264,22,17565
34,-64,Village 01-PinguBro,Pingu Jon,766,PA,Gauls,35,43,27759
80,-9,Village 00 - Viúvas do Café,Pingu Cafe,766,PA,Teutons,3057,43,32807
-26,34,Village TSH,Tshombe,765,SSQ,Gauls,312,14,18503
138,-23,Village 01,Triple Emperor,763,P.A.,Teutons,2742,160,59734
80,30,Village 01,FierceWolf,762,HZR,Gauls,1673,1,34510
158,-141,Village 01 Blackwing Lair,Pingu Brutality,760,P.A.,Gauls,2177,160,60408
-185,-128,Village 03,Emperor Penguin,758,PA,Romans,995,43,70151
120,-10,Village 01. TRISKELION,Gannicus,755,PA,Teutons,208,43,58656
92,43,Village 00,Corey Taylor,753,P.A.,Teutons,2820,160,42429
-133,-123,Village 2.1,xXx,752,AO,Gauls,1741,84,62071
73,69,Village Kaunas,Zap,751,HZR,Romans,2691,1,41869
-179,-104,Village 03 Xabo y checho,PinguGoat,750,P.A.,Teutons,57,160,70554
-32,-33,Village 1,TR_Newback,750,TR,Teutons,660,28,18492
-17,122,Village La Madriguera,Alfredo3030,750,W!LDS,Teutons,7473,39,48073
55,-43,Village 00. YAGO DUM BEAST,Gannicus,749,PA,Teutons,208,43,26984
120,-60,Village Vesnice: VendaBenda,VendaBenda,748,Turan,Gauls,9060,105,50744
194,-82,Village 02 Birritas Mctoons,PinguGoat,748,P.A.,Teutons,57,160,60423
-148,-78,Village 3,Zeus,746,AO,Romans,3413,84,71934
56,-178,Village Auvernia,Bravuco,746,Tribe Gauls,Gauls,969,,61223
-60,-87,Village 01.BLUE,FILOF,744,AO,Romans,448,84,44094
15,-78,Village 00,Schindler,743,P.A,Gauls,2916,61,32070
73,144,Village Burdok,Burdok,743,LTU,Romans,13097,15,55450
-120,41,Village Discovery Begins,Dersu Uzala,742,W!LDS,Gauls,3105,39,48722
-123,82,Village 2 MIKE,MIKE.LIA,741,W!LDS,Gauls,2645,39,69968
123,73,Village Biggus Dickus,Meztre,741,HZR,Romans,10286,1,52212
-64,54,Village 1.Chlo19,Gwenoul,738,DEUS,Gauls,3435,50,34780
-71,-151,Village 01,Nsfuler,737,czsk,Gauls,14162,49,56762
18,-159,Village FOX,Dante,737,PA,Teutons,12873,43,55179
17,-74,Village xd,Pompinchu,736,Tribe Gauls,Gauls,2723,,30892
-149,149,Village Not the spawn,HubbaBubba,735,W!LDS,Gauls,22101,39,66634
-89,7,Village ⚔00⚔,ForR0,735,W!LDS,Teutons,1761,39,36205
-57,8,Village 01 TKAPC,TKAPC,735,NKF,Gauls,1397,65,22708
149,2,Village Start,Raul5448,735,TARTR,Gauls,11064,79,53196
105,-37,Village Minas-Tirith,Saruman159,733,LS,Romans,6054,117,45341
-182,-131,Village 03,TriTrasTres,732,P.A.,Romans,788,160,70666
-17,-31,Village 01. Nyawit Nih Org,Hope,730,NKF,Romans,234,65,17525
-29,107,Village 01 Beograd,Napoleon84,729,KB-1,Teutons,6024,172,45288
-42,76,Village Spins Shelf,Spingus,727,SSQ3,Gauls,3523,282,35272
47,-81,Village 00 Molten Core,Pingu Brutality,727,P.A.,Gauls,2177,160,39179
-185,-180,Village 04. Kowalsky,Bad Penguins,725,PA,Teutons,89,43,72006
-20,-93,Village Gutturnio,Sboccio,725,AO,Romans,4252,84,39902
-116,14,Village 01,roar,723,W!LDS,Teutons,97,39,73069
63,-33,Village 00,UnNingüino,723,P.A.,Gauls,2042,160,27312
-135,-51,Village A,Bill,722,Tribe Gauls,Gauls,7576,,52413
51,19,Village test,s9m,722,HKG,Gauls,1100,71,20520
